,cod_municipio,soja_area_nao_desmat,tco2eq,lr_surplus,nm_mun,sigla_uf,qtd_cars,year
70,1502939,55445.9781130000,99157467.59999999,2283.89,Dom Eliseu,PA,1114
71,1503044,2537.092244000000,3757726.7999999998,198.66,Floresta do Araguaia,PA,372
72,1503077,4.378486000000000,6915.6,0.0,Garrafão do Norte,PA,28
73,1503093,460.8796490000000,674474.4,0.0,Goianésia do Pará,PA,776
74,1503457,4173.079311000000,5696478.0,2055.01,Ipixuna do Pará,PA,263
75,1503754,88.72440000000000,211881.6,14.33,Jacareacanga,PA,16
76,1503804,23.804901999999998,31806.000000000000,0.0,Jacundá,PA,149
77,1504703,756.021290000000,1091660.3999999999,0.0,Moju,PA,214
78,1504752,21778.44672700000,33956373.6,3818.17,Mojuí dos Campos,PA,1668
79,1504802,81.74632600000000,117187.20000000000,0.0,Monte Alegre,PA,96
80,1504950,14288.369779000001,20191611.6,2791.63,Nova Esperança do Piriá,PA,192
81,1504976,12.358155999999999,15944.400000000000,0.0,Nova Ipixuna,PA,27
82,1505031,5744.434246000000,10161018.0,178.31,Novo Progresso,PA,179
83,1505502,102060.23915700000,141967648.8,31841.12,Paragominas,PA,1220
84,1505551,14.082957000000000,25668.000000000000,0.0,Pau D'Arco,PA,8
85,1505650,35.03836400000000,50468.4,2738.56,Placas,PA,283
86,1506005,26.30348000000000,43686.0,9620.5,Prainha,PA,246
87,1506138,7993.0832119999995,10061636.4,85.16,Redenção,PA,113
88,1506161,337.86932300000001,522334.8,0.0,Rio Maria,PA,159
89,1506187,29735.748608999998,56957076.0,1542.18,Rondon do Pará,PA,844
90,1506195,18.105727000000002,31208.4,19.94,Rurópolis,PA,183
91,1506583,41072.98698200000,54565902.00000000,15139.41,Santa Maria das Barreiras,PA,354
92,1506708,95338.68471900000,158557863.59999999,29275.58,Santana do Araguaia,PA,328
93,1506807,12707.62506700000,19977804.0,150399.5,Santarém,PA,1420
94,1507300,4969.2184600000001,9801457.199999999,26.5,São Félix do Xingu,PA,138
95,1507508,0.980026000000000,1310.4,0.0,São João do Araguaia,PA,164
96,1507755,2.75169500000000,3636.0,0.0,Sapucaia,PA,44
97,1507953,2494.6603300000002,3712417.2,0.0,Tailândia,PA,442
98,1508001,68.91393600000001,95331.6,549.52,Tomé-Açu,PA,75
